SWEAT index,K index,Totals totals index,Date,TH,Environmental Stability,Moisture Indices,Convective Potential,Temperature Pressure,Moisture Temperature Profiles
163.9,22.8,46.0,1981-03-16,0,-2.4,31.4,1645.4,5649,967.48
175.0,20.8,43.0,1981-03-17,0,9.3,35.5,-105.7,5678,960.04
171.4,24.4,45.4,1981-03-18,0,3.3,37.6,90.4,5681,983.02
93.0,16.6,37.8,1981-03-19,0,2.8999999999999995,35.0,-10.400000000000006,5727,975.14
150.2,28.6,45.2,1981-03-20,0,-4.699999999999999,36.6,3105.1,5715,985.21
163.5,31.8,47.4,1981-03-21,0,-5.2,41.5,2901.2999999999997,5728,977.46
285.1,36.9,53.6,1981-03-22,0,-2.0,38.7,-168.29999999999998,5729,948.32
415.9,40.2,59.8,1981-03-23,0,-14.2,37.1,2727.4,5685,956.25
110.0,29.2,47.8,1981-03-24,0,-9.5,30.1,2287.0,5672,980.18
275.1,34.6,54.6,1981-03-25,1,-9.2,38.5,2320.2000000000003,5651,977.71
128.2,26.6,50.8,1981-03-26,1,-0.7999999999999998,27.0,79.70000000000002,5615,980.76
219.5,22.3,55.6,1981-03-27,1,-14.7,21.1,2743.5,5581,985.52
349.7,28.6,55.6,1981-03-28,1,-3.4,28.7,1245.2,5642,975.54
348.3,37.0,55.8,1981-03-29,1,0.09999999999999964,38.4,329.4,5686,957.02
320.0,38.3,54.0,1981-03-30,1,0.2999999999999998,42.0,903.3999999999999,5746,985.37
594.1,42.2,69.8,1981-03-31,0,-25.9,36.2,4418.4,5675,985.28
226.1,34.3,49.8,1981-04-01,0,5.199999999999999,37.4,-63.099999999999994,5672,975.18
225.7,35.5,46.6,1981-04-02,0,2.9,41.5,734.5,5727,977.65
310.7,34.8,53.8,1981-04-03,1,-8.7,42.5,2617.4,5758,995.1
509.5,41.3,56.0,1981-04-04,0,-11.7,51.9,34.4,5776,972.06
88.2,13.4,30.0,1981-04-05,0,0.7000000000000002,36.7,1971.8,5758,979.97
71.8,15.2,33.9,1981-04-06,0,-5.7,24.9,1935.0,5737,987.66
57.6,12.4,29.8,1981-04-07,0,9.4,26.6,-40.900000000000006,5720,942.67
67.9,5.0,26.3,1981-04-08,0,17.8,22.5,0.0,5760,951.71
87.3,5.4,30.5,1981-04-09,0,-0.2999999999999998,18.3,705.2,5713,942.31
75.7,16.6,34.5,1981-04-10,0,23.2,18.5,0.0,5710,723.65
98.9,18.4,40.9,1981-04-11,0,-6.3,30.1,1993.3999999999999,5737,964.31
155.1,20.0,48.8,1981-04-12,0,-13.2,31.2,41.099999999999994,5693,969.5
222.2,19.8,46.0,1981-04-13,0,7.6,39.7,-8.899999999999977,5742,977.89
252.0,36.3,49.0,1981-04-14,0,-0.49999999999999956,46.9,2423.2,5756,980.09
205.3,30.8,45.0,1981-04-15,1,-0.6000000000000001,41.0,2382.2,5734,980.15
231.9,31.6,48.6,1981-04-16,1,-2.3000000000000003,43.2,2667.2,5743,982.65
193.9,35.5,49.4,1981-04-17,1,3.5999999999999996,37.2,-282.6,5744,977.98
850.7,47.3,67.6,1981-04-18,1,-11.100000000000001,57.1,-85.0,5730,985.06
391.7,20.4,56.0,1981-04-20,0,-9.5,38.6,1578.4,5701,923.87
139.0,7.2,41.2,1981-04-21,0,3.6999999999999997,34.2,507.6,5757,990.31
280.7,32.8,52.0,1981-04-22,0,-7.1,43.4,4256.599999999999,5727,987.69
346.7,35.4,54.8,1981-04-23,0,-10.0,49.7,4268.0,5782,985.03
139.5,25.4,48.4,1981-04-24,0,-10.399999999999999,35.2,5058.5,5742,982.47
126.2,24.4,44.8,1981-04-25,0,-3.5999999999999996,25.0,225.3,5712,931.02
28.5,21.8,46.6,1981-04-26,0,-3.0999999999999996,26.8,623.1,5704,921.92
103.1,22.0,44.4,1981-04-27,0,-7.5,34.4,3347.6,5699,987.69
220.6,38.1,51.0,1981-04-28,0,-9.399999999999999,48.5,1.9,5757,997.57
258.7,31.4,53.2,1981-04-29,0,-9.399999999999999,37.2,3883.6,5741,972.18
306.4,36.7,54.6,1981-04-30,0,-2.2,38.0,1311.3999999999999,5779,930.4
134.8,33.5,47.8,1981-05-01,0,-8.5,37.9,3449.1,5690,998.09
163.8,34.5,50.4,1981-05-02,1,-12.3,41.4,3747.8999999999996,5725,985.06
231.7,36.5,52.0,1981-05-03,1,2.4999999999999996,41.2,151.8,5745,956.62
270.3,40.3,51.2,1981-05-04,1,-0.5,49.0,688.0,5752,977.71
141.8,33.1,46.4,1981-05-05,1,-0.8999999999999999,39.9,1450.9,5719,985.34
173.8,29.5,40.4,1981-05-06,0,3.1000000000000005,44.2,821.1999999999999,5705,982.77
252.7,36.7,45.0,1981-05-07,0,3.2,55.2,733.6,5753,980.15
167.6,32.5,43.4,1981-05-08,0,1.6999999999999997,48.1,807.6,5747,985.21
303.0,31.0,51.2,1981-05-09,1,-0.6999999999999993,54.1,143.6,5789,985.12
212.6,37.3,49.6,1981-05-10,1,6.5,48.0,-388.7,5817,961.9
165.7,31.3,45.6,1981-05-11,1,0.19999999999999973,41.6,557.4,5768,961.78
330.3,40.1,53.6,1981-05-12,0,-1.2999999999999998,45.8,765.5999999999999,5748,964.46
182.9,34.5,47.4,1981-05-13,0,-1.6000000000000005,43.6,621.1999999999999,5747,972.31
134.8,29.1,43.0,1981-05-14,0,-4.300000000000001,41.4,4418.2,5803,982.41
163.7,27.8,47.6,1981-05-15,0,-8.4,32.4,4264.400000000001,5746,920.95
194.4,31.0,50.2,1981-05-16,0,-9.5,33.5,3908.1,5777,935.81
217.7,23.0,45.0,1981-05-17,1,-6.800000000000001,44.1,7.5,5780,974.59
224.7,29.6,51.0,1981-05-18,0,0.0,42.1,105.19999999999999,5755,980.24
239.3,37.7,49.8,1981-05-19,0,-3.2,51.6,1593.3,5784,985.06
